school_year,building_code,dbn,location_name,location_code,address,borough,geographical_district_code,register,schools,schools_in_building,major_n,oth_n,nocrim_n,prop_n,vio_n,total_incidents,engroupa,rangea,avgofmajor_n,avgofoth_n,avgofnocrim_n,avgofprop_n,avgofvio_n,borough_name,cleaned_borough_name,postcode,latitude,longitude,community_board,council_district,census_tract,bin,bbl,nta,,,Total Rows:,6309
2015-16,K006,17K006,P.S. 006,K006,43 SNYDER AVENUE,K,17,712,1,P.S. 006,0,1,2,1,0,4,4C,501-750,0.28,1.11,1.74,0.75,0.53,BROOKLYN,BROOKLYN,11226,40.64859,-73.957138,14,40,794,3117230,3051030079,ERASMUS,,,Total Unique Schools:,1891
2015-16,K005,16K005,P.S. 005 DR. RONALD MCNAIR,K005,820 HANCOCK STREET,K,16,231,1,P.S. 005 DR. RONALD MCNAIR,0,0,2,0,0,2,2C,1-250,0.24,0.71,1.71,0.51,0.32,BROOKLYN,BROOKLYN,11233,40.685695,-73.922463,3,41,377,3039906,3014900001,STUYVESANT HEIGHTS,,,Most Frquent Incident Type:,NoCrim N
2015-16,K003,13K003,P.S. 003 THE BEDFORD VILLAGE,K003,50 JEFFERSON AVENUE,K,13,450,1,P.S. 003 THE BEDFORD VILLAGE,0,0,2,0,0,2,3C,251-500,0.27,0.9,1.67,0.63,0.44,BROOKLYN,BROOKLYN,11216,40.682663,-73.955338,3,36,227,3057406,3019980001,CLINTON HILL,,,% of Incidents in the Bronx:,28.30%
2015-16,K002,,655 PARKSIDE AVENUE CONSOLIDATED LOCATION,,655 PARKSIDE AVENUE,K,17,1378,3,PARKSIDE PREPARATORY ACADEMY | P.S. K141 |EXPLORE CHARTER HIGH SCHOOL |655 PARKSIDE AVENUE CONSOLIDATED LOCATION,0,3,1,0,1,5,5C,751-1000,0.38,1.71,2.38,0.98,0.82,BROOKLYN,BROOKLYN,11226,40.656183,-73.951583,9,40,802,3378201,3050500051,PROSPECT LEFFERTS GARDENS-WINGATE,,,,
2015-16,K002,75K141,P.S. K141,K141,655 PARKSIDE AVENUE,K,17,374,3,PARKSIDE PREPARATORY ACADEMY | P.S. K141 |EXPLORE CHARTER HIGH SCHOOL |655 PARKSIDE AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,0,3C,251-500,N/A,N/A,N/A,N/A,N/A,BROOKLYN,BROOKLYN,11226,40.656183,-73.951583,9,40,802,3378201,3050500051,PROSPECT LEFFERTS GARDENS-WINGATE,,,,
2015-16,K002,84K704,EXPLORE CHARTER SCHOOL(BS),K704,655 PARKSIDE AVENUE,K,17,529,3,PARKSIDE PREPARATORY ACADEMY | P.S. K141 |EXPLORE CHARTER HIGH SCHOOL |655 PARKSIDE AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,0,4C,501-750,N/A,N/A,N/A,N/A,N/A,BROOKLYN,BROOKLYN,11226,40.656183,-73.951583,9,40,802,3378201,3050500051,PROSPECT LEFFERTS GARDENS-WINGATE,,,,
2015-16,K002,17K002,PARKSIDE PREPARATORY ACADEMY,K002,655 PARKSIDE AVENUE,K,17,475,3,PARKSIDE PREPARATORY ACADEMY | P.S. K141 |EXPLORE CHARTER HIGH SCHOOL |655 PARKSIDE AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,0,3C,251-500,N/A,N/A,N/A,N/A,N/A,BROOKLYN,BROOKLYN,11226,40.656183,-73.951583,9,40,802,3378201,3050500051,PROSPECT LEFFERTS GARDENS-WINGATE,,,,
2015-16,X953,75XHOS,HOSPITAL SCHOOLS - BRONX,X402,3450 EAST TREMONT AVENUE,X,8,N/A,4,HOSPITAL SCHOOLS - BROOKLYN| HOSPITAL SCHOOLS| HOSPITAL SCHOOLS - BRONX| HOME INSTRUCTION - BRONX| 3450 EAST TREMONT AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,BRONX,BRONX,10465,40.832117,-73.82749,10,13,166,2079386,2055310021,SCHUYLERVILLE-THROGS NECK-EDGEWATER PARK,,,,
2015-16,K001,15K001,P.S. 001 THE BERGEN,K001,309 47 STREET,K,15,1280,1,P.S. 001 THE BERGEN,0,1,0,1,0,2,7C,1251-1500,0.64,3.02,5.77,1.72,1.54,BROOKLYN,BROOKLYN,11220,40.649042,-74.012289,7,38,80,3011821,3007550022,SUNSET PARK WEST,,,,
2015-16,K008,13K008,P.S. 008 ROBERT FULTON,K008,37 HICKS STREET,K,13,924,1,P.S. 008 ROBERT FULTON,3,0,0,3,0,6,5C,751-1000,0.38,1.71,2.38,0.98,0.82,BROOKLYN,BROOKLYN,11201,40.70071,-73.993241,2,33,1,3001540,3002110001,BROOKLYN HEIGHTS-COBBLE HILL,,,,
